id;title;genres;company;score;released_at
canvas-3-nanairo-no-kiseki;Canvas 3: Nanairo no Kiseki;Adventure,Visual Novel;HuneX / GN Software;0;2010-04-22 00:00:00.000000
capcom-classics-collection-reloaded;Capcom Classics Collection Reloaded;Miscellaneous,Compilation;Klein Computer Entertainment / Capcom;75;2006-10-24 00:00:00.000000
capcom-classics-collection-remixed;Capcom Classics Collection Remixed;Miscellaneous,Compilation;Digital Eclipse / Capcom;72;2006-03-22 00:00:00.000000
capcom-puzzle-world;Capcom Puzzle World;Miscellaneous,Compilation;;65;2007-02-06 00:00:00.000000
capcom-puzzle-world;Capcom Puzzle World;Miscellaneous,Compilation,Various;Capcom;65;2007-02-06 00:00:00.000000
carnage-heart-exa;Carnage Heart EXA;Strategy,General;Artdink / Natsume;0;2013-03-19 00:00:00.000000
carnage-heart-portable;Carnage Heart Portable;Action,General;Artdink / Genki;0;2006-08-03 00:00:00.000000
carol-vordermans-sudoku;Carol Vorderman's Sudoku;Miscellaneous;Empire Interactive;72;2007-03-06 00:00:00.000000
carol-vordermans-sudoku;Carol Vorderman's Sudoku;Puzzle,Logic;Empire Interactive / Eidos Interactive;72;2007-03-06 00:00:00.000000
cars-2-the-video-game;Cars 2: The Video Game;Racing,General;Virtual Toys / SCEA;0;2011-11-08 00:00:00.000000
cars;Cars;Racing,Arcade,Automobile;Locomotive Games / THQ;70;2006-06-06 00:00:00.000000
cars-race-o-rama;Cars Race-O-Rama;Racing,Arcade,Automobile;Tantalus Interactive / THQ;50;2009-10-12 00:00:00.000000
castlevania-dracula-10-chronicles;Castlevania: The Dracula X Chronicles;Action;Konami;80;2007-10-23 00:00:00.000000
castlevania-the-dracula-x-chronicles;Castlevania: The Dracula X Chronicles;Miscellaneous,Compilation;;80;2007-10-23 00:00:00.000000
chameleon;Chameleon;Puzzle,General;Starfish / UFO Interactive;35;2008-05-05 00:00:00.000000
championship-manager-2006-07;Championship Manager 2006/07;Sports,Team,Soccer,Management;;0;2006-04-07 00:00:00.000000
championship-manager-2007;Championship Manager 2007;Sports,Team,Soccer,Management;Beautiful Game Studios / Eidos Interactive;0;2007-03-16 00:00:00.000000
championship-manager;Championship Manager;Sports,Team,Soccer,Management;Gusto Games / Eidos Interactive;0;2005-12-09 00:00:00.000000
chaos-head-love-chu*chu;Chaos;Head Love Chu*Chu!;Adventure,General;0;2011-01-27 00:00:00.000000
chaos-head-noah;Chaos;Head Noah;Adventure,General;0;2010-06-24 00:00:00.000000
cherry-blossom-portable;Cherry Blossom Portable;Adventure,Visual Novel;;0;2008-12-25 00:00:00.000000
chessmaster-the-art-of-learning;Chessmaster: The Art of Learning;Miscellaneous,Board / Card Game;;64;2008-02-12 00:00:00.000000
chili-con-carnage;Chili Con Carnage;Action;Deadline Games;74;2007-02-27 00:00:00.000000
chili-con-carnage;Chili Con Carnage;Action,Shooter,Third-Person,Arcade;Deadline Games / Eidos Interactive;74;2007-02-27 00:00:00.000000
cho-aniki-zero;Cho Aniki Zero;Action;extreme Co.,Ltd.;0;2010-03-24 00:00:00.000000
chotto-shot;Chotto Shot;Miscellaneous,Application;;0;2006-11-02 00:00:00.000000
chuugen-no-hasha-sangoku-shouseiden;Chuugen no Hasha: Sangoku Shouseiden;Strategy,General;;0;2006-02-09 00:00:00.000000
chuukana-janshi-tenhoo-painyan-remix;Chuukana Janshi Tenhoo Painyan Remix;Miscellaneous,Board / Card Game;;0;2007-06-28 00:00:00.000000
cid-the-dummy;CID The Dummy;Action,Platformer,3D;Twelve Games / Oxygen Interactive;41;2009-07-07 00:00:00.000000
cladun-this-is-an-rpg;Cladun: This is an RPG;Role-Playing,Action RPG;System Prisma / NIS America;78;2010-09-20 00:00:00.000000
cladun-this-is-an-rpg;Cladun: This is an RPG;Role-Playing;System Prisma;78;2010-09-20 00:00:00.000000
cladun-x2;ClaDun x2;Role-Playing,Action RPG;System Prisma / NIS America;74;2011-08-30 00:00:00.000000
clannad-mitsumi-mamoru-sakamichi-de-gekan;Clannad: Mitsumi Mamoru Sakamichi de - Gekan;Adventure,Visual Novel;;0;2010-07-15 00:00:00.000000
clannad-mitsumi-mamoru-sakamichi-de-joukan;Clannad: Mitsumi Mamoru Sakamichi de - Joukan;Adventure,Visual Novel;;0;2010-06-03 00:00:00.000000
